"Chicken Little",Animation,S8,296,786936246803
"Chicken Run",Animation,"DVDW3 101",297,667068645323
"Children of the Corn: Revelation",Horror,"DVDW1 32",298,786936160345
"Child's Play",Horror,"BO2 69 70",299,027616750426
"Chill Factor",Action,S4,300,085391804628
"China A Century of Revolution",Documentary,"DVDW2 119",301,720917314822
"China Strike Force",Action,208,302,786936223538
Chinatown,Crime,"BS2 41 42 43",303,097361551647
"Chinese Connection",Action,"DVDW2 22",304,024543014157
Chooch,Comedy,"CDISK2 115",305,018713510747
"Chori Chori Chupke Chupke",Drama,S12,306,675754600327
"Christmas With The Kranks",Comedy,326,307,043396048614
"Chronicles of Narnia",Fantasy,S7,308,786936292930
"Chronicles of Riddick",Adventure,"DVDW2 124",309,025192632426
Chrystal,Drama,283,310,687797109897
Chumscrubber,Comedy,S2,311,678149196726
Cinderella,Family,S8,312,786936239294
"Cinderella Man",Biography,309,313,025192211928
"Cinderella Story",Comedy,"DVDW2 95",314,085393145224
"Cingo Amigas",Family,136,315,014381020625
"City by The Sea",Crime,S2,316,085392208227
"City Hunter",Action,"T1 94",317,024543078357
"City of Angels",Drama,S2,318,085391632023
"City of Ghosts",Crime,S3,319,027616889997
"City of God",Crime,232,320,786936223897
"City of SARS",Drama,159,321,601641447447
"City of Steel: Carrier",Documentary,"CDISK2 51",322,625712130434
"City On Fire",Action,"DVDW2 60",323,786936158496
"Civil Action",Drama,S3,324,717951001917
"Clash of The Titans",Adventure,"RP 41 42",325,012569513723
"Clear and Present Dangers",Action,"CDISK2 77",326,097363246374
Clerks,Comedy,"RP 63 64",327,717951002716
"Clifford's Really Big Movie",Animation,"CDISK3 89",328,085393492823
"Clockwork Orange",Drama,"CDISK2 96",329,085391736721
"Close Your Eyes",Crime,129,330,687797999092
Closer,Drama,369,331,043396048478
"Cloud 9",Comedy,S5,332,024543207788
"CNN Millenium 2000",Documentary,"T1 104",333,053939819823
"Coach Carter",Drama,S8,334,097363412649
Cocoon,Adventure,"CDISK1 2",335,024543115878
"Code of Silence",Action,"CDP1 21 22 23",336,027616854766
"Cold Creek Manor",Drama,"DVDW1 35",337,786936226393
"Cold Mountain",Drama,"T1 74",338,786936242164
Collateral,Crime,"CDISK1 72",339,678149173420
"Color of Night",Mystery,"CDP1 86 87 88",340,717951003430
Commando,Action,"T1 116 CDISK2 113",341,086162104244
"Con Air",Action,"PO 13 14 15",342,717951000262
"Con Express",Action,"BO2 55 56",343,012236126843
Congo,Thriller,"GP 4",344,097363303879
"Connie and Carla",Comedy,"CDISK2 25",345,025192386022
"Conspiracy Theory",Thriller,"BO2 83 84",346,085391509127
Constantine,Horror,"CDISK2 83",347,085393894221
"Contant Gardener",Drama,S5,348,025192629228
"Contract Killer",Action,"DVDW2 73",349,043396065994
Copycat,Thriller,"GP2 39 40",350,085391416821
Core,Drama,"CDP1 80 81 82",351,097363346746
Corruptor,Action,208,352,794043477621
"Cosmic Voyage",Documentary,"CDISK2 107",353,794051804723
"Count of Monte Cristo",Action,"CDISK2 78",354,786936165395
"Cowboy Bebop The Movie",Action,"T1 80",355,043396090552
CQ,Drama,"PO 37 +",356,027616878878
"Cracking the Code of Life",Documentary,"CDISK2 43",357,783421333291
"Cradle 2 The Grave",Action,"DVDW1 108",358,085392341122
"Creature Unknown",Horror,"CDISK3 69",359,690445006028
"Crime Spree",Crime,179,360,097368796348
Criminal,Crime,"CDISK1 110",361,085393896829
"Crimson Rivers",Thriller,"CDISK2 23",362,043396097070
"Crimson Tide",Action,"CDISK2 76",363,717951000149
"Crocodile Hunter, The: Collision Course",Comedy,"RP 55",364,027616880567
"Crouching Tiger, Hiden Dragon",Action,"CDISK2 60",365,043396059900
"Cry Wolf",Horror,"CDISK3 62 63",366,025192940422
"Crying Game",Drama,"CDISK3 56",367,012236132509
Cube,Thriller,"RP 45",368,031398691433
Cujo,Horror,360,369,017153114010
"Cup of My Blood",Horror,"CDISK3 64",370,039414560084
"Curse of King Tut's Tomb",Adventure,,371,096009443498
"Curse of The Komodo",Horror,"CDISK1 13",372,733807816146
Cursed,Horror,,373,786936293975
Cyborg,Sci-Fi,"BO 27",374,027616656124
"Cyborg 2",Sci-Fi,"BO 28",375,031398705536
D.E.B.S,Comedy,"CDISK1 98",376,043396111301
"Da Vinci and The Code He Lived By",Documentary,S7,377,733961745252
"Daddy Day Care",Comedy,"BC 42 43 44",378,043396017139
Dagon,Horror,"BO2 65 66",379,658149800229
"Dallas 362",Drama,284,380,821575540650
"Damien Omen II",Horror,"DVDW1 29",381,024543004493
"Dante's Peak",Action,"GP 71 72",382,025192045028
Daredevil,Action,"DVDW2 32",383,024543077886
"Daredevil vs Spider-man",Animation,"GP2 53 54 55",384,786936203196
"Dark Blue",Action,"CDISK3 118",385,027616886446
"Dark Water",Drama,"CDISK3 100",386,786936242904
Darr,Thriller,"DVDW2 11 S13",387,N/A
"Date Movie",Comedy,S8,388,024543247012
"Dawn of The Dead",Action,"DVDW2 87",389,025192386121
"Day After",Drama,"CDISK1 14",390,027616911254
"Day After Tomorrow",Action,"DVDW2 72",391,024543135548
"Day Without A Mexican",Comedy,"CDISK1 61",392,000799447628
"Days of Thunder",Action,"GP 1 2",393,097363212379
"Dead  Man Walking",Crime,191,394,027616784926
"Dead Presidents",Action,"BS2 11 12",395,717951000392
"Dead Zone ",Horror,"DVDW1 62",396,658149805927
Deal,Thriller,393,397,043396115408
Decoys,Horror,"DVDW2 89",398,043396075085
"Deep Evil",Sci-Fi,"CDISK1 31",399,687797600394
"Deep Impact",Drama,"BS 52 53 54",400,097363308270
"Deep Rising",Sci-Fi,"CDISK2 55",401,717951000651
